Title,Genre
 (2022) დოქტორი სტრეინჯი: სიგიჟის მულტისამყაროში - Doctor Strange in the Multiverse of Madness,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, ფანტასტიკა"
 (2022) ზღვის ურჩხული - The Sea Beast,"ანიმაციური , სათავგადასავლო, კომედია"
 (2022) ვალეტი - The Valet,"დრამა, მელოდრამა, კომედია"
 (2022) ზღარბი სონიკი 2 - Sonic the Hedgehog 2,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, კომედია"
 (2022) პრინცესა - The Princess,"დრამა, მძაფრ-სიუჟეტიანი, ფანტასტიკა"
 (2022) ვიკინგი - The Northman,"დრამა, მძაფრ-სიუჟეტიანი, სათავგადასავლო"
 (2020) ბრძოლისთვის მომზადებული - Embattled,"დრამა, მძაფრ-სიუჟეტიანი, სპორტული"
 (2019) სიბერგი - Seberg,"დრამა, ტრილერი, ბიოგრაფიული"
 (2020) ჩემი სელინჯერის წელიწადი - My Salinger Year,დრამა
 (2020) თაფლობის თვე იერუსალიმში - Honeymood,"დრამა, კომედია"
 (2021) ქლინი - Clean,"დრამა, მძაფრ-სიუჟეტიანი, კრიმინალური"
 (2022) გამანადგურებელი - Interceptor,"დრამა, მძაფრ-სიუჟეტიანი, სათავგადასავლო"
 (2009) ვერ ვიტან ვალენტინის დღეს - I Hate Valentine's Day,"დრამა, მელოდრამა, კომედია"
 (2022) ბეტმენი - The Batman,"დრამა, მძაფრ-სიუჟეტიანი, კრიმინალური"
 (2022) Uncharted: განძის ძიებაში - Uncharted,"მძაფრ-სიუჟეტიანი, სათავგადასავლო"
 (2021) ადამიანი-ობობა: სახლისკენ გზა არ არის - Spider-Man: No Way Home,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, ფანტასტიკა"
 (2022) მეხსიერება - Memory,"მძაფრ-სიუჟეტიანი, ტრილერი"
 (2014) სიბნელიდან - Out of the Dark,"საშინელება, ტრილერი"
 (2022) იქორწინე ჩემზე - Marry Me,"მელოდრამა, მუსიკალური, კომედია"
 (2021) კოდა - CODA,"დრამა, მუსიკალური, კომედია"
